n_past_tgt,decode_time_ms,do_defrag
110,11.436,0
114,11.763,0
117,12.456,0
118,11.922,0
119,11.975,0
120,11.498,0
124,11.858,0
129,12.257,0
133,11.328,0
139,11.910,0
146,12.519,0
150,11.940,0
154,11.882,0
155,11.700,0
158,11.453,0
159,11.449,0
163,11.274,0
169,12.271,0
174,12.408,0
181,12.752,0
182,12.465,0
187,12.111,0
188,11.890,0
191,11.600,0
195,12.639,0
197,12.119,0
202,12.075,0
207,12.080,0
212,12.608,0
216,11.909,0
221,11.733,0
227,11.980,0
233,12.245,0
238,12.374,0
240,12.423,0
246,11.858,0
252,12.680,0
257,11.957,0
259,11.987,0
265,12.503,0
273,12.921,0
276,13.533,0
281,12.528,0
284,11.780,0
289,12.457,0
293,12.038,0
297,12.012,0
304,11.621,0
310,11.804,0
314,11.472,0
320,11.430,0
322,12.010,0
325,11.505,0
326,11.853,0
331,11.332,0
335,12.127,0
341,11.973,0
347,11.776,0
354,11.754,0
360,12.619,0
370,11.636,0
380,11.464,0
384,12.461,0
386,11.793,0
391,12.134,0
396,11.513,0
400,12.424,0
402,11.949,0
408,11.757,0
422,11.374,0
434,11.597,0
440,11.902,0
448,12.500,0
453,11.732,0
468,11.808,0
485,11.345,0
495,11.796,0
